Data;Período;Produto;Qtd
03/08/2026;Manhã;Croissant;6
03/08/2026;Manhã;Enroladinho de presunto e queijo;3
03/08/2026;Manhã;Espetinho de carne;0
03/08/2026;Manhã;Frango assado;0
03/08/2026;Manhã;Frango temperado;2
03/08/2026;Manhã;Hambúrguer artesanal;0
03/08/2026;Manhã;Kafta;1
03/08/2026;Manhã;Lasanha;1
03/08/2026;Manhã;Linguiça artesanal;0
03/08/2026;Manhã;Macarrão à bolonhesa;0
03/08/2026;Manhã;Maki;1
03/08/2026;Manhã;Marmita de arroz e feijão;2
03/08/2026;Manhã;Pudim;2
03/08/2026;Manhã;Purê de batata;2
03/08/2026;Manhã;Pão de queijo;3
03/08/2026;Manhã;Pão francês;1
03/08/2026;Manhã;Sashimi;0
03/08/2026;Manhã;Sushi;1
03/08/2026;Manhã;Temaki;1
03/08/2026;Manhã;Torta de limão;3
03/08/2026;Tarde;Beijinho;4
03/08/2026;Tarde;Bolo de chocolate;5
03/08/2026;Tarde;Brigadeiro;1
03/08/2026;Tarde;Ceviche;1
03/08/2026;Tarde;Coxinha;2
03/08/2026;Tarde;Croissant;2
03/08/2026;Tarde;Enroladinho de presunto e queijo;2
03/08/2026;Tarde;Espetinho de carne;5
03/08/2026;Tarde;Frango assado;4
03/08/2026;Tarde;Frango temperado;2
03/08/2026;Tarde;Hambúrguer artesanal;2
03/08/2026;Tarde;Kafta;1
03/08/2026;Tarde;Lasanha;4
03/08/2026;Tarde;Linguiça artesanal;0
03/08/2026;Tarde;Macarrão à bolonhesa;4
03/08/2026;Tarde;Maki;0
03/08/2026;Tarde;Marmita de arroz e feijão;3
03/08/2026;Tarde;Pudim;5
03/08/2026;Tarde;Purê de batata;4
03/08/2026;Tarde;Pão de queijo;0
03/08/2026;Tarde;Pão francês;3
03/08/2026;Tarde;Sashimi;3
03/08/2026;Tarde;Sushi;1
03/08/2026;Tarde;Temaki;0
03/08/2026;Tarde;Torta de limão;1
03/08/2026;Noite;Beijinho;0
03/08/2026;Noite;Bolo de chocolate;3
03/08/2026;Noite;Brigadeiro;2
03/08/2026;Noite;Ceviche;2
03/08/2026;Noite;Coxinha;1
03/08/2026;Noite;Croissant;1
03/08/2026;Noite;Enroladinho de presunto e queijo;3
03/08/2026;Noite;Espetinho de carne;7
03/08/2026;Noite;Frango assado;1
03/08/2026;Noite;Frango temperado;2
03/08/2026;Noite;Hambúrguer artesanal;2
03/08/2026;Noite;Kafta;1
03/08/2026;Noite;Lasanha;3
03/08/2026;Noite;Linguiça artesanal;8
03/08/2026;Noite;Macarrão à bolonhesa;2
03/08/2026;Noite;Maki;3
03/08/2026;Noite;Marmita de arroz e feijão;1
03/08/2026;Noite;Pudim;0
03/08/2026;Noite;Purê de batata;1
03/08/2026;Noite;Pão de queijo;1
03/08/2026;Noite;Pão francês;1
03/08/2026;Noite;Sashimi;3
03/08/2026;Noite;Sushi;6
03/08/2026;Noite;Temaki;2
03/08/2026;Noite;Torta de limão;2
04/08/2026;Manhã;Beijinho;2
04/08/2026;Manhã;Bolo de chocolate;2
04/08/2026;Manhã;Brigadeiro;4
04/08/2026;Manhã;Ceviche;0
04/08/2026;Manhã;Coxinha;3
04/08/2026;Manhã;Croissant;10
04/08/2026;Manhã;Enroladinho de presunto e queijo;4
04/08/2026;Manhã;Espetinho de carne;3
04/08/2026;Manhã;Frango assado;4
04/08/2026;Manhã;Frango temperado;1
04/08/2026;Manhã;Hambúrguer artesanal;2
04/08/2026;Manhã;Kafta;1
04/08/2026;Manhã;Lasanha;2
04/08/2026;Manhã;Linguiça artesanal;3
04/08/2026;Manhã;Macarrão à bolonhesa;1
04/08/2026;Manhã;Maki;2
04/08/2026;Manhã;Marmita de arroz e feijão;4
04/08/2026;Manhã;Pudim;4
04/08/2026;Manhã;Purê de batata;3
04/08/2026;Manhã;Pão de queijo;10
04/08/2026;Manhã;Pão francês;4
04/08/2026;Manhã;Sashimi;2
04/08/2026;Manhã;Sushi;1
04/08/2026;Manhã;Temaki;3
04/08/2026;Manhã;Torta de limão;4
04/08/2026;Tarde;Beijinho;6
04/08/2026;Tarde;Bolo de chocolate;2
04/08/2026;Tarde;Brigadeiro;5
04/08/2026;Tarde;Ceviche;7
04/08/2026;Tarde;Coxinha;7
04/08/2026;Tarde;Croissant;3
04/08/2026;Tarde;Enroladinho de presunto e queijo;8
04/08/2026;Tarde;Espetinho de carne;6
04/08/2026;Tarde;Frango assado;10
04/08/2026;Tarde;Frango temperado;10
04/08/2026;Tarde;Hambúrguer artesanal;10
04/08/2026;Tarde;Kafta;6
04/08/2026;Tarde;Lasanha;7
04/08/2026;Tarde;Linguiça artesanal;7
04/08/2026;Tarde;Macarrão à bolonhesa;6
04/08/2026;Tarde;Maki;6
04/08/2026;Tarde;Marmita de arroz e feijão;6
04/08/2026;Tarde;Pudim;3
04/08/2026;Tarde;Purê de batata;6
04/08/2026;Tarde;Pão de queijo;4
04/08/2026;Tarde;Pão francês;0
04/08/2026;Tarde;Sashimi;3
04/08/2026;Tarde;Sushi;7
04/08/2026;Tarde;Temaki;6
04/08/2026;Tarde;Torta de limão;9
04/08/2026;Noite;Beijinho;4
04/08/2026;Noite;Bolo de chocolate;7
04/08/2026;Noite;Brigadeiro;3
04/08/2026;Noite;Ceviche;9
04/08/2026;Noite;Coxinha;4
04/08/2026;Noite;Croissant;0
04/08/2026;Noite;Enroladinho de presunto e queijo;8
04/08/2026;Noite;Espetinho de carne;3
04/08/2026;Noite;Frango assado;6
04/08/2026;Noite;Frango temperado;4
04/08/2026;Noite;Hambúrguer artesanal;8
04/08/2026;Noite;Kafta;8
04/08/2026;Noite;Lasanha;6
04/08/2026;Noite;Linguiça artesanal;8
04/08/2026;Noite;Macarrão à bolonhesa;3
04/08/2026;Noite;Maki;6
04/08/2026;Noite;Marmita de arroz e feijão;2
04/08/2026;Noite;Pudim;6
04/08/2026;Noite;Purê de batata;2
04/08/2026;Noite;Pão de queijo;3
04/08/2026;Noite;Pão francês;2
04/08/2026;Noite;Sashimi;6
04/08/2026;Noite;Sushi;1
04/08/2026;Noite;Temaki;6
04/08/2026;Noite;Torta de limão;3
05/08/2026;Manhã;Beijinho;1
05/08/2026;Manhã;Bolo de chocolate;4
05/08/2026;Manhã;Brigadeiro;4
05/08/2026;Manhã;Ceviche;1
05/08/2026;Manhã;Coxinha;7
05/08/2026;Manhã;Croissant;6
05/08/2026;Manhã;Enroladinho de presunto e queijo;4
05/08/2026;Manhã;Espetinho de carne;3
05/08/2026;Manhã;Frango assado;4
05/08/2026;Manhã;Frango temperado;3
05/08/2026;Manhã;Hambúrguer artesanal;2
05/08/2026;Manhã;Kafta;3
05/08/2026;Manhã;Lasanha;5
05/08/2026;Manhã;Linguiça artesanal;1
05/08/2026;Manhã;Macarrão à bolonhesa;3
05/08/2026;Manhã;Maki;0
05/08/2026;Manhã;Marmita de arroz e feijão;2
05/08/2026;Manhã;Pudim;6
05/08/2026;Manhã;Purê de batata;3
05/08/2026;Manhã;Pão de queijo;8
05/08/2026;Manhã;Pão francês;3
05/08/2026;Manhã;Sashimi;2
05/08/2026;Manhã;Sushi;3
05/08/2026;Manhã;Temaki;4
05/08/2026;Manhã;Torta de limão;8
05/08/2026;Tarde;Beijinho;5
05/08/2026;Tarde;Bolo de chocolate;5
05/08/2026;Tarde;Brigadeiro;8
05/08/2026;Tarde;Ceviche;6
05/08/2026;Tarde;Coxinha;1
05/08/2026;Tarde;Croissant;1
05/08/2026;Tarde;Enroladinho de presunto e queijo;6
05/08/2026;Tarde;Espetinho de carne;7
05/08/2026;Tarde;Frango assado;2
05/08/2026;Tarde;Frango temperado;10
05/08/2026;Tarde;Hambúrguer artesanal;5
05/08/2026;Tarde;Kafta;5
05/08/2026;Tarde;Lasanha;7
05/08/2026;Tarde;Linguiça artesanal;2
05/08/2026;Tarde;Macarrão à bolonhesa;5
05/08/2026;Tarde;Maki;1
05/08/2026;Tarde;Marmita de arroz e feijão;5
05/08/2026;Tarde;Pudim;8
05/08/2026;Tarde;Purê de batata;7
05/08/2026;Tarde;Pão de queijo;3
05/08/2026;Tarde;Pão francês;4
05/08/2026;Tarde;Sashimi;8
05/08/2026;Tarde;Sushi;1
05/08/2026;Tarde;Temaki;7
05/08/2026;Tarde;Torta de limão;3
05/08/2026;Noite;Beijinho;5
05/08/2026;Noite;Bolo de chocolate;1
05/08/2026;Noite;Brigadeiro;3
05/08/2026;Noite;Ceviche;10
05/08/2026;Noite;Coxinha;9
05/08/2026;Noite;Croissant;2
05/08/2026;Noite;Enroladinho de presunto e queijo;5
05/08/2026;Noite;Espetinho de carne;7
05/08/2026;Noite;Frango assado;1
05/08/2026;Noite;Frango temperado;4
05/08/2026;Noite;Hambúrguer artesanal;4
05/08/2026;Noite;Kafta;10
05/08/2026;Noite;Lasanha;4
05/08/2026;Noite;Linguiça artesanal;9
05/08/2026;Noite;Macarrão à bolonhesa;4
05/08/2026;Noite;Maki;8
05/08/2026;Noite;Marmita de arroz e feijão;3
05/08/2026;Noite;Pudim;5
05/08/2026;Noite;Purê de batata;4
05/08/2026;Noite;Pão de queijo;2
05/08/2026;Noite;Pão francês;3
05/08/2026;Noite;Sashimi;10
05/08/2026;Noite;Sushi;5
05/08/2026;Noite;Temaki;5
05/08/2026;Noite;Torta de limão;2
06/08/2026;Manhã;Beijinho;3
06/08/2026;Manhã;Bolo de chocolate;6
06/08/2026;Manhã;Brigadeiro;2
06/08/2026;Manhã;Ceviche;5
06/08/2026;Manhã;Coxinha;8
06/08/2026;Manhã;Croissant;10
06/08/2026;Manhã;Enroladinho de presunto e queijo;2
06/08/2026;Manhã;Espetinho de carne;2
06/08/2026;Manhã;Frango assado;1
06/08/2026;Manhã;Frango temperado;3
06/08/2026;Manhã;Hambúrguer artesanal;1
06/08/2026;Manhã;Kafta;6
06/08/2026;Manhã;Lasanha;4
06/08/2026;Manhã;Linguiça artesanal;4
06/08/2026;Manhã;Macarrão à bolonhesa;1
06/08/2026;Manhã;Maki;1
06/08/2026;Manhã;Marmita de arroz e feijão;3
06/08/2026;Manhã;Pudim;3
06/08/2026;Manhã;Purê de batata;2
06/08/2026;Manhã;Pão de queijo;5
06/08/2026;Manhã;Pão francês;5
06/08/2026;Manhã;Sashimi;3
06/08/2026;Manhã;Sushi;3
06/08/2026;Manhã;Temaki;1
06/08/2026;Manhã;Torta de limão;7
06/08/2026;Tarde;Beijinho;9
06/08/2026;Tarde;Bolo de chocolate;0
06/08/2026;Tarde;Brigadeiro;4
06/08/2026;Tarde;Ceviche;7
06/08/2026;Tarde;Coxinha;5
06/08/2026;Tarde;Croissant;2
06/08/2026;Tarde;Enroladinho de presunto e queijo;5
06/08/2026;Tarde;Espetinho de carne;3
06/08/2026;Tarde;Frango assado;10
06/08/2026;Tarde;Frango temperado;6
06/08/2026;Tarde;Hambúrguer artesanal;6
06/08/2026;Tarde;Kafta;4
06/08/2026;Tarde;Lasanha;4
06/08/2026;Tarde;Linguiça artesanal;4
06/08/2026;Tarde;Macarrão à bolonhesa;8
06/08/2026;Tarde;Maki;3
06/08/2026;Tarde;Marmita de arroz e feijão;6
06/08/2026;Tarde;Pudim;3
06/08/2026;Tarde;Purê de batata;5
06/08/2026;Tarde;Pão de queijo;5
06/08/2026;Tarde;Pão francês;2
06/08/2026;Tarde;Sashimi;3
06/08/2026;Tarde;Sushi;3
06/08/2026;Tarde;Temaki;2
06/08/2026;Tarde;Torta de limão;1
06/08/2026;Noite;Beijinho;3
06/08/2026;Noite;Bolo de chocolate;4
06/08/2026;Noite;Brigadeiro;4
06/08/2026;Noite;Ceviche;10
06/08/2026;Noite;Coxinha;5
06/08/2026;Noite;Croissant;1
06/08/2026;Noite;Enroladinho de presunto e queijo;3
06/08/2026;Noite;Espetinho de carne;10
06/08/2026;Noite;Frango assado;1
06/08/2026;Noite;Frango temperado;5
06/08/2026;Noite;Hambúrguer artesanal;4
06/08/2026;Noite;Kafta;10
06/08/2026;Noite;Lasanha;6
06/08/2026;Noite;Linguiça artesanal;6
06/08/2026;Noite;Macarrão à bolonhesa;1
06/08/2026;Noite;Maki;5
06/08/2026;Noite;Marmita de arroz e feijão;4
06/08/2026;Noite;Pudim;5
06/08/2026;Noite;Purê de batata;1
06/08/2026;Noite;Pão de queijo;1
06/08/2026;Noite;Pão francês;0
06/08/2026;Noite;Sashimi;5
06/08/2026;Noite;Sushi;8
06/08/2026;Noite;Temaki;5
06/08/2026;Noite;Torta de limão;3
07/08/2026;Manhã;Beijinho;4
07/08/2026;Manhã;Bolo de chocolate;4
07/08/2026;Manhã;Brigadeiro;4
07/08/2026;Manhã;Ceviche;3
07/08/2026;Manhã;Coxinha;5
07/08/2026;Manhã;Croissant;9
07/08/2026;Manhã;Enroladinho de presunto e queijo;10
07/08/2026;Manhã;Espetinho de carne;3
07/08/2026;Manhã;Frango assado;0
07/08/2026;Manhã;Frango temperado;2
07/08/2026;Manhã;Hambúrguer artesanal;7
07/08/2026;Manhã;Kafta;9
07/08/2026;Manhã;Lasanha;9
07/08/2026;Manhã;Linguiça artesanal;1
07/08/2026;Manhã;Macarrão à bolonhesa;5
07/08/2026;Manhã;Maki;2
07/08/2026;Manhã;Marmita de arroz e feijão;5
07/08/2026;Manhã;Pudim;5
07/08/2026;Manhã;Purê de batata;5
07/08/2026;Manhã;Pão de queijo;10
07/08/2026;Manhã;Pão francês;5
07/08/2026;Manhã;Sashimi;2
07/08/2026;Manhã;Sushi;1
07/08/2026;Manhã;Temaki;2
07/08/2026;Manhã;Torta de limão;0
07/08/2026;Tarde;Beijinho;4
07/08/2026;Tarde;Bolo de chocolate;4
07/08/2026;Tarde;Brigadeiro;4
07/08/2026;Tarde;Ceviche;5
07/08/2026;Tarde;Coxinha;4
07/08/2026;Tarde;Croissant;4
07/08/2026;Tarde;Enroladinho de presunto e queijo;5
07/08/2026;Tarde;Espetinho de carne;9
07/08/2026;Tarde;Frango assado;9
07/08/2026;Tarde;Frango temperado;10
07/08/2026;Tarde;Hambúrguer artesanal;10
07/08/2026;Tarde;Kafta;9
07/08/2026;Tarde;Lasanha;7
07/08/2026;Tarde;Linguiça artesanal;8
07/08/2026;Tarde;Macarrão à bolonhesa;10
07/08/2026;Tarde;Maki;3
07/08/2026;Tarde;Marmita de arroz e feijão;10
07/08/2026;Tarde;Pudim;3
07/08/2026;Tarde;Purê de batata;10
07/08/2026;Tarde;Pão de queijo;3
07/08/2026;Tarde;Pão francês;6
07/08/2026;Tarde;Sashimi;4
07/08/2026;Tarde;Sushi;2
07/08/2026;Tarde;Temaki;6
07/08/2026;Tarde;Torta de limão;6
07/08/2026;Noite;Beijinho;5
07/08/2026;Noite;Bolo de chocolate;4
07/08/2026;Noite;Brigadeiro;3
07/08/2026;Noite;Ceviche;2
07/08/2026;Noite;Coxinha;6
07/08/2026;Noite;Croissant;5
07/08/2026;Noite;Enroladinho de presunto e queijo;8
07/08/2026;Noite;Espetinho de carne;10
07/08/2026;Noite;Frango assado;6
07/08/2026;Noite;Frango temperado;9
07/08/2026;Noite;Hambúrguer artesanal;10
07/08/2026;Noite;Kafta;8
07/08/2026;Noite;Lasanha;7
07/08/2026;Noite;Linguiça artesanal;10
07/08/2026;Noite;Macarrão à bolonhesa;7
07/08/2026;Noite;Maki;9
07/08/2026;Noite;Marmita de arroz e feijão;7
07/08/2026;Noite;Pudim;3
07/08/2026;Noite;Purê de batata;8
07/08/2026;Noite;Pão de queijo;5
07/08/2026;Noite;Pão francês;4
07/08/2026;Noite;Sashimi;8
07/08/2026;Noite;Sushi;9
07/08/2026;Noite;Temaki;4
07/08/2026;Noite;Torta de limão;6
08/08/2026;Manhã;Beijinho;6
08/08/2026;Manhã;Bolo de chocolate;10
08/08/2026;Manhã;Brigadeiro;6
08/08/2026;Manhã;Ceviche;4
08/08/2026;Manhã;Coxinha;8
08/08/2026;Manhã;Croissant;10
08/08/2026;Manhã;Enroladinho de presunto e queijo;5
08/08/2026;Manhã;Espetinho de carne;5
08/08/2026;Manhã;Frango assado;4
08/08/2026;Manhã;Frango temperado;7
08/08/2026;Manhã;Hambúrguer artesanal;5
08/08/2026;Manhã;Kafta;6
08/08/2026;Manhã;Lasanha;3
08/08/2026;Manhã;Linguiça artesanal;3
08/08/2026;Manhã;Macarrão à bolonhesa;5
08/08/2026;Manhã;Maki;3
08/08/2026;Manhã;Marmita de arroz e feijão;9
08/08/2026;Manhã;Pudim;7
08/08/2026;Manhã;Purê de batata;5
08/08/2026;Manhã;Pão de queijo;10
08/08/2026;Manhã;Pão francês;10
08/08/2026;Manhã;Sashimi;6
08/08/2026;Manhã;Sushi;2
08/08/2026;Manhã;Temaki;4
08/08/2026;Manhã;Torta de limão;8
08/08/2026;Tarde;Beijinho;7
08/08/2026;Tarde;Bolo de chocolate;8
08/08/2026;Tarde;Brigadeiro;10
08/08/2026;Tarde;Ceviche;6
08/08/2026;Tarde;Coxinha;4
08/08/2026;Tarde;Croissant;6
08/08/2026;Tarde;Enroladinho de presunto e queijo;10
08/08/2026;Tarde;Espetinho de carne;5
08/08/2026;Tarde;Frango assado;10
08/08/2026;Tarde;Frango temperado;9
08/08/2026;Tarde;Hambúrguer artesanal;10
08/08/2026;Tarde;Kafta;9
08/08/2026;Tarde;Lasanha;10
08/08/2026;Tarde;Linguiça artesanal;7
08/08/2026;Tarde;Macarrão à bolonhesa;10
08/08/2026;Tarde;Maki;10
08/08/2026;Tarde;Marmita de arroz e feijão;10
08/08/2026;Tarde;Pudim;7
08/08/2026;Tarde;Purê de batata;10
08/08/2026;Tarde;Pão de queijo;6
08/08/2026;Tarde;Pão francês;6
08/08/2026;Tarde;Sashimi;7
08/08/2026;Tarde;Sushi;7
08/08/2026;Tarde;Temaki;10
08/08/2026;Tarde;Torta de limão;9
08/08/2026;Noite;Beijinho;4
08/08/2026;Noite;Bolo de chocolate;3
08/08/2026;Noite;Brigadeiro;7
08/08/2026;Noite;Ceviche;10
08/08/2026;Noite;Coxinha;5
08/08/2026;Noite;Croissant;6
08/08/2026;Noite;Enroladinho de presunto e queijo;7
08/08/2026;Noite;Espetinho de carne;10
08/08/2026;Noite;Frango assado;6
08/08/2026;Noite;Frango temperado;9
08/08/2026;Noite;Hambúrguer artesanal;10
08/08/2026;Noite;Kafta;10
08/08/2026;Noite;Lasanha;2
08/08/2026;Noite;Linguiça artesanal;10
08/08/2026;Noite;Macarrão à bolonhesa;4
08/08/2026;Noite;Maki;8
08/08/2026;Noite;Marmita de arroz e feijão;6
08/08/2026;Noite;Pudim;10
08/08/2026;Noite;Purê de batata;8
08/08/2026;Noite;Pão de queijo;2
08/08/2026;Noite;Pão francês;3
08/08/2026;Noite;Sashimi;10
08/08/2026;Noite;Sushi;8
08/08/2026;Noite;Temaki;10
08/08/2026;Noite;Torta de limão;7
09/08/2026;Manhã;Beijinho;9
09/08/2026;Manhã;Bolo de chocolate;10
09/08/2026;Manhã;Brigadeiro;6
09/08/2026;Manhã;Ceviche;4
09/08/2026;Manhã;Coxinha;10
09/08/2026;Manhã;Croissant;10
09/08/2026;Manhã;Enroladinho de presunto e queijo;10
09/08/2026;Manhã;Espetinho de carne;6
09/08/2026;Manhã;Frango assado;5
09/08/2026;Manhã;Frango temperado;3
09/08/2026;Manhã;Hambúrguer artesanal;6
09/08/2026;Manhã;Kafta;4
09/08/2026;Manhã;Lasanha;2
09/08/2026;Manhã;Linguiça artesanal;4
09/08/2026;Manhã;Macarrão à bolonhesa;9
09/08/2026;Manhã;Maki;2
09/08/2026;Manhã;Marmita de arroz e feijão;3
09/08/2026;Manhã;Pudim;9
09/08/2026;Manhã;Purê de batata;9
09/08/2026;Manhã;Pão de queijo;10
09/08/2026;Manhã;Pão francês;10
09/08/2026;Manhã;Sashimi;9
09/08/2026;Manhã;Sushi;7
09/08/2026;Manhã;Temaki;8
09/08/2026;Manhã;Torta de limão;10
09/08/2026;Tarde;Beijinho;9
09/08/2026;Tarde;Bolo de chocolate;4
09/08/2026;Tarde;Brigadeiro;10
09/08/2026;Tarde;Ceviche;10
09/08/2026;Tarde;Coxinha;10
09/08/2026;Tarde;Croissant;9
09/08/2026;Tarde;Enroladinho de presunto e queijo;10
09/08/2026;Tarde;Espetinho de carne;7
09/08/2026;Tarde;Frango assado;8
09/08/2026;Tarde;Frango temperado;10
09/08/2026;Tarde;Hambúrguer artesanal;10
09/08/2026;Tarde;Kafta;6
09/08/2026;Tarde;Lasanha;10
09/08/2026;Tarde;Linguiça artesanal;7
09/08/2026;Tarde;Macarrão à bolonhesa;10
09/08/2026;Tarde;Maki;7
09/08/2026;Tarde;Marmita de arroz e feijão;10
09/08/2026;Tarde;Pudim;8
09/08/2026;Tarde;Purê de batata;10
09/08/2026;Tarde;Pão de queijo;9
09/08/2026;Tarde;Pão francês;5
09/08/2026;Tarde;Sashimi;10
09/08/2026;Tarde;Sushi;10
09/08/2026;Tarde;Temaki;9
09/08/2026;Tarde;Torta de limão;10
09/08/2026;Noite;Beijinho;6
09/08/2026;Noite;Bolo de chocolate;10
09/08/2026;Noite;Brigadeiro;9
09/08/2026;Noite;Ceviche;10
09/08/2026;Noite;Coxinha;10
09/08/2026;Noite;Croissant;0
