Data;Produto;Produção Diária;Total Vendido;Sobra / Desperdício;Taxa de Venda (%)
03/09/2026;Croissant;30;5;25;16.7
03/09/2026;Enroladinho de presunto e queijo;30;10;20;33.3
03/09/2026;Espetinho de carne;30;4;26;13.3
03/09/2026;Frango assado;30;3;27;10.0
03/09/2026;Frango temperado;30;4;26;13.3
03/09/2026;Hambúrguer artesanal;30;3;27;10.0
03/09/2026;Kafta;30;2;28;6.7
03/09/2026;Lasanha;30;1;29;3.3
03/09/2026;Linguiça artesanal;30;3;27;10.0
03/09/2026;Macarrão à bolonhesa;30;4;26;13.3
03/09/2026;Maki;30;8;22;26.7
03/09/2026;Marmita de arroz e feijão;30;2;28;6.7
03/09/2026;Pudim;30;10;20;33.3
03/09/2026;Purê de batata;30;5;25;16.7
03/09/2026;Pão de queijo;30;7;23;23.3
03/09/2026;Pão francês;30;5;25;16.7
03/09/2026;Sashimi;30;9;21;30.0
03/09/2026;Sushi;30;9;21;30.0
03/09/2026;Temaki;30;9;21;30.0
03/09/2026;Torta de limão;30;10;20;33.3
04/09/2026;Beijinho;30;24;6;80.0
04/09/2026;Bolo de chocolate;30;25;5;83.3
04/09/2026;Brigadeiro;30;27;3;90.0
04/09/2026;Ceviche;30;22;8;73.3
04/09/2026;Coxinha;30;17;13;56.7
04/09/2026;Croissant;30;15;15;50.0
04/09/2026;Enroladinho de presunto e queijo;30;18;12;60.0
04/09/2026;Espetinho de carne;30;16;14;53.3
04/09/2026;Frango assado;30;10;20;33.3
04/09/2026;Frango temperado;30;9;21;30.0
04/09/2026;Hambúrguer artesanal;30;12;18;40.0
04/09/2026;Kafta;30;15;15;50.0
04/09/2026;Lasanha;30;8;22;26.7
04/09/2026;Linguiça artesanal;30;11;19;36.7
04/09/2026;Macarrão à bolonhesa;30;11;19;36.7
04/09/2026;Maki;30;21;9;70.0
04/09/2026;Marmita de arroz e feijão;30;15;15;50.0
04/09/2026;Pudim;30;28;2;93.3
04/09/2026;Purê de batata;30;8;22;26.7
04/09/2026;Pão de queijo;30;14;16;46.7
04/09/2026;Pão francês;30;17;13;56.7
04/09/2026;Sashimi;30;20;10;66.7
04/09/2026;Sushi;30;23;7;76.7
04/09/2026;Temaki;30;21;9;70.0
04/09/2026;Torta de limão;30;19;11;63.3
05/09/2026;Beijinho;30;24;6;80.0
05/09/2026;Bolo de chocolate;30;28;2;93.3
05/09/2026;Brigadeiro;30;26;4;86.7
05/09/2026;Ceviche;30;23;7;76.7
05/09/2026;Coxinha;30;18;12;60.0
05/09/2026;Croissant;30;17;13;56.7
05/09/2026;Enroladinho de presunto e queijo;30;19;11;63.3
05/09/2026;Espetinho de carne;30;6;24;20.0
05/09/2026;Frango assado;30;13;17;43.3
05/09/2026;Frango temperado;30;12;18;40.0
05/09/2026;Hambúrguer artesanal;30;11;19;36.7
05/09/2026;Kafta;30;6;24;20.0
05/09/2026;Lasanha;30;9;21;30.0
05/09/2026;Linguiça artesanal;30;14;16;46.7
05/09/2026;Macarrão à bolonhesa;30;12;18;40.0
05/09/2026;Maki;30;23;7;76.7
05/09/2026;Marmita de arroz e feijão;30;8;22;26.7
05/09/2026;Pudim;30;26;4;86.7
05/09/2026;Purê de batata;30;7;23;23.3
05/09/2026;Pão de queijo;30;21;9;70.0
05/09/2026;Pão francês;30;19;11;63.3
05/09/2026;Sashimi;30;24;6;80.0
05/09/2026;Sushi;30;26;4;86.7
05/09/2026;Temaki;30;17;13;56.7
05/09/2026;Torta de limão;30;29;1;96.7
06/09/2026;Beijinho;30;30;0;100.0
06/09/2026;Bolo de chocolate;30;30;0;100.0
06/09/2026;Brigadeiro;30;21;9;70.0
06/09/2026;Ceviche;30;26;4;86.7
06/09/2026;Coxinha;30;22;8;73.3
06/09/2026;Croissant;30;23;7;76.7
06/09/2026;Enroladinho de presunto e queijo;30;22;8;73.3
06/09/2026;Espetinho de carne;30;16;14;53.3
06/09/2026;Frango assado;30;8;22;26.7
06/09/2026;Frango temperado;30;19;11;63.3
06/09/2026;Hambúrguer artesanal;30;15;15;50.0
06/09/2026;Kafta;30;15;15;50.0
06/09/2026;Lasanha;30;10;20;33.3
06/09/2026;Linguiça artesanal;30;19;11;63.3
06/09/2026;Macarrão à bolonhesa;30;13;17;43.3
06/09/2026;Maki;30;23;7;76.7
06/09/2026;Marmita de arroz e feijão;30;16;14;53.3
06/09/2026;Pudim;30;19;11;63.3
06/09/2026;Purê de batata;30;13;17;43.3
06/09/2026;Pão de queijo;30;18;12;60.0
06/09/2026;Pão francês;30;21;9;70.0
06/09/2026;Sashimi;30;25;5;83.3
06/09/2026;Sushi;30;20;10;66.7
06/09/2026;Temaki;30;23;7;76.7
06/09/2026;Torta de limão;30;30;0;100.0
07/09/2026;Beijinho;30;24;6;80.0
07/09/2026;Bolo de chocolate;30;29;1;96.7
07/09/2026;Brigadeiro;30;22;8;73.3
07/09/2026;Ceviche;30;21;9;70.0
07/09/2026;Coxinha;30;22;8;73.3
07/09/2026;Croissant;30;18;12;60.0
07/09/2026;Enroladinho de presunto e queijo;30;20;10;66.7
07/09/2026;Espetinho de carne;30;15;15;50.0
07/09/2026;Frango assado;30;15;15;50.0
07/09/2026;Frango temperado;30;7;23;23.3
07/09/2026;Hambúrguer artesanal;30;8;22;26.7
07/09/2026;Kafta;30;12;18;40.0
07/09/2026;Lasanha;30;13;17;43.3
07/09/2026;Linguiça artesanal;30;11;19;36.7
07/09/2026;Macarrão à bolonhesa;30;8;22;26.7
07/09/2026;Maki;30;24;6;80.0
07/09/2026;Marmita de arroz e feijão;30;14;16;46.7
07/09/2026;Pudim;30;25;5;83.3
07/09/2026;Purê de batata;30;11;19;36.7
07/09/2026;Pão de queijo;30;13;17;43.3
07/09/2026;Pão francês;30;9;21;30.0
07/09/2026;Sashimi;30;22;8;73.3
07/09/2026;Sushi;30;25;5;83.3
07/09/2026;Temaki;30;21;9;70.0
07/09/2026;Torta de limão;30;26;4;86.7
08/09/2026;Beijinho;30;15;15;50.0
08/09/2026;Bolo de chocolate;30;16;14;53.3
08/09/2026;Brigadeiro;30;18;12;60.0
08/09/2026;Ceviche;30;19;11;63.3
08/09/2026;Coxinha;30;18;12;60.0
08/09/2026;Croissant;30;18;12;60.0
08/09/2026;Enroladinho de presunto e queijo;30;16;14;53.3
08/09/2026;Espetinho de carne;30;7;23;23.3
08/09/2026;Frango assado;30;6;24;20.0
08/09/2026;Frango temperado;30;10;20;33.3
08/09/2026;Hambúrguer artesanal;30;2;28;6.7
08/09/2026;Kafta;30;9;21;30.0
08/09/2026;Lasanha;30;17;13;56.7
08/09/2026;Linguiça artesanal;30;11;19;36.7
08/09/2026;Macarrão à bolonhesa;30;9;21;30.0
08/09/2026;Maki;30;15;15;50.0
08/09/2026;Marmita de arroz e feijão;30;6;24;20.0
08/09/2026;Pudim;30;17;13;56.7
08/09/2026;Purê de batata;30;8;22;26.7
08/09/2026;Pão de queijo;30;13;17;43.3
08/09/2026;Pão francês;30;14;16;46.7
08/09/2026;Sashimi;30;14;16;46.7
08/09/2026;Sushi;30;20;10;66.7
08/09/2026;Temaki;30;19;11;63.3
08/09/2026;Torta de limão;30;16;14;53.3
09/09/2026;Beijinho;30;19;11;63.3
09/09/2026;Bolo de chocolate;30;20;10;66.7
09/09/2026;Brigadeiro;30;18;12;60.0
09/09/2026;Ceviche;30;20;10;66.7
09/09/2026;Coxinha;30;18;12;60.0
09/09/2026;Croissant;30;11;19;36.7
09/09/2026;Enroladinho de presunto e queijo;30;15;15;50.0
09/09/2026;Espetinho de carne;30;5;25;16.7
09/09/2026;Frango assado;30;9;21;30.0
09/09/2026;Frango temperado;30;7;23;23.3
09/09/2026;Hambúrguer artesanal;30;8;22;26.7
09/09/2026;Kafta;30;6;24;20.0
09/09/2026;Lasanha;30;10;20;33.3
09/09/2026;Linguiça artesanal;30;9;21;30.0
09/09/2026;Macarrão à bolonhesa;30;6;24;20.0
09/09/2026;Maki;30;20;10;66.7
09/09/2026;Marmita de arroz e feijão;30;11;19;36.7
09/09/2026;Pudim;30;28;2;93.3
09/09/2026;Purê de batata;30;8;22;26.7
09/09/2026;Pão de queijo;30;13;17;43.3
09/09/2026;Pão francês;30;15;15;50.0
09/09/2026;Sashimi;30;15;15;50.0
09/09/2026;Sushi;30;22;8;73.3
09/09/2026;Temaki;30;14;16;46.7
09/09/2026;Torta de limão;30;13;17;43.3
10/09/2026;Beijinho;30;14;16;46.7
10/09/2026;Bolo de chocolate;30;24;6;80.0
10/09/2026;Brigadeiro;30;20;10;66.7
10/09/2026;Ceviche;30;16;14;53.3
10/09/2026;Coxinha;30;9;21;30.0
10/09/2026;Croissant;30;5;25;16.7
10/09/2026;Enroladinho de presunto e queijo;30;12;18;40.0
10/09/2026;Espetinho de carne;30;13;17;43.3
10/09/2026;Frango assado;30;7;23;23.3
10/09/2026;Frango temperado;30;10;20;33.3
10/09/2026;Hambúrguer artesanal;30;6;24;20.0
10/09/2026;Kafta;30;7;23;23.3
10/09/2026;Lasanha;30;4;26;13.3
10/09/2026;Linguiça artesanal;30;10;20;33.3
10/09/2026;Macarrão à bolonhesa;30;4;26;13.3
10/09/2026;Maki;30;20;10;66.7
10/09/2026;Marmita de arroz e feijão;30;14;16;46.7
10/09/2026;Pudim;30;22;8;73.3
10/09/2026;Purê de batata;30;10;20;33.3
10/09/2026;Pão de queijo;30;11;19;36.7
10/09/2026;Pão francês;30;11;19;36.7
10/09/2026;Sashimi;30;19;11;63.3
10/09/2026;Sushi;30;20;10;66.7
10/09/2026;Temaki;30;24;6;80.0
10/09/2026;Torta de limão;30;19;11;63.3
11/09/2026;Beijinho;30;22;8;73.3
11/09/2026;Bolo de chocolate;30;22;8;73.3
11/09/2026;Brigadeiro;30;22;8;73.3
11/09/2026;Ceviche;30;24;6;80.0
11/09/2026;Coxinha;30;14;16;46.7
11/09/2026;Croissant;30;17;13;56.7
11/09/2026;Enroladinho de presunto e queijo;30;15;15;50.0
11/09/2026;Espetinho de carne;30;12;18;40.0
11/09/2026;Frango assado;30;11;19;36.7
11/09/2026;Frango temperado;30;8;22;26.7
11/09/2026;Hambúrguer artesanal;30;11;19;36.7
11/09/2026;Kafta;30;13;17;43.3
11/09/2026;Lasanha;30;11;19;36.7
11/09/2026;Linguiça artesanal;30;7;23;23.3
11/09/2026;Macarrão à bolonhesa;30;12;18;40.0
11/09/2026;Maki;30;22;8;73.3
11/09/2026;Marmita de arroz e feijão;30;13;17;43.3
11/09/2026;Pudim;30;21;9;70.0
11/09/2026;Purê de batata;30;22;8;73.3
11/09/2026;Pão de queijo;30;18;12;60.0
11/09/2026;Pão francês;30;21;9;70.0
11/09/2026;Sashimi;30;17;13;56.7
11/09/2026;Sushi;30;26;4;86.7
11/09/2026;Temaki;30;21;9;70.0
11/09/2026;Torta de limão;30;21;9;70.0
12/09/2026;Beijinho;30;22;8;73.3
12/09/2026;Bolo de chocolate;30;17;13;56.7
12/09/2026;Brigadeiro;30;12;18;40.0
12/09/2026;Ceviche;30;18;12;60.0
12/09/2026;Coxinha;30;12;18;40.0
12/09/2026;Croissant;30;11;19;36.7
12/09/2026;Enroladinho de presunto e queijo;30;13;17;43.3
12/09/2026;Espetinho de carne;30;6;24;20.0
12/09/2026;Frango assado;30;10;20;33.3
12/09/2026;Frango temperado;30;8;22;26.7
12/09/2026;Hambúrguer artesanal;30;9;21;30.0
12/09/2026;Kafta;30;7;23;23.3
12/09/2026;Lasanha;30;7;23;23.3
12/09/2026;Linguiça artesanal;30;11;19;36.7
12/09/2026;Macarrão à bolonhesa;30;9;21;30.0
12/09/2026;Maki;30;17;13;56.7
12/09/2026;Marmita de arroz e feijão;30;9;21;30.0
12/09/2026;Pudim;30;14;16;46.7
12/09/2026;Purê de batata;30;12;18;40.0
12/09/2026;Pão de queijo;30;12;18;40.0
12/09/2026;Pão francês;30;15;15;50.0
12/09/2026;Sashimi;30;16;14;53.3
12/09/2026;Sushi;30;18;12;60.0
12/09/2026;Temaki;30;19;11;63.3
12/09/2026;Torta de limão;30;21;9;70.0
13/09/2026;Beijinho;30;18;12;60.0
13/09/2026;Bolo de chocolate;30;16;14;53.3
13/09/2026;Brigadeiro;30;27;3;90.0
13/09/2026;Ceviche;30;16;14;53.3
13/09/2026;Coxinha;30;16;14;53.3
13/09/2026;Croissant;30;19;11;63.3
13/09/2026;Enroladinho de presunto e queijo;30;10;20;33.3
13/09/2026;Espetinho de carne;30;8;22;26.7
13/09/2026;Frango assado;30;10;20;33.3
13/09/2026;Frango temperado;30;7;23;23.3
13/09/2026;Hambúrguer artesanal;30;9;21;30.0
13/09/2026;Kafta;30;12;18;40.0
13/09/2026;Lasanha;30;10;20;33.3
13/09/2026;Linguiça artesanal;30;7;23;23.3
13/09/2026;Macarrão à bolonhesa;30;11;19;36.7
13/09/2026;Maki;30;17;13;56.7
13/09/2026;Marmita de arroz e feijão;30;3;27;10.0
13/09/2026;Pudim;30;20;10;66.7
13/09/2026;Purê de batata;30;11;19;36.7
13/09/2026;Pão de queijo;30;9;21;30.0
13/09/2026;Pão francês;30;13;17;43.3
13/09/2026;Sashimi;30;21;9;70.0
13/09/2026;Sushi;30;16;14;53.3
13/09/2026;Temaki;30;18;12;60.0
13/09/2026;Torta de limão;30;20;10;66.7
14/09/2026;Beijinho;30;18;12;60.0
14/09/2026;Bolo de chocolate;30;11;19;36.7
14/09/2026;Brigadeiro;30;18;12;60.0
14/09/2026;Ceviche;30;15;15;50.0
14/09/2026;Coxinha;30;12;18;40.0
14/09/2026;Croissant;30;10;20;33.3
14/09/2026;Enroladinho de presunto e queijo;30;10;20;33.3
14/09/2026;Espetinho de carne;30;2;28;6.7
14/09/2026;Frango assado;30;3;27;10.0
14/09/2026;Frango temperado;30;2;28;6.7
14/09/2026;Hambúrguer artesanal;30;5;25;16.7
14/09/2026;Kafta;30;10;20;33.3
14/09/2026;Lasanha;30;6;24;20.0
14/09/2026;Linguiça artesanal;30;5;25;16.7
14/09/2026;Macarrão à bolonhesa;30;9;21;30.0
14/09/2026;Maki;30;15;15;50.0
14/09/2026;Marmita de arroz e feijão;30;8;22;26.7
14/09/2026;Pudim;30;12;18;40.0
14/09/2026;Purê de batata;30;7;23;23.3
14/09/2026;Pão de queijo;30;8;22;26.7
14/09/2026;Pão francês;30;10;20;33.3
14/09/2026;Sashimi;30;19;11;63.3
14/09/2026;Sushi;30;20;10;66.7
14/09/2026;Temaki;30;13;17;43.3
14/09/2026;Torta de limão;30;12;18;40.0
15/09/2026;Beijinho;30;7;23;23.3
15/09/2026;Bolo de chocolate;30;11;19;36.7
15/09/2026;Brigadeiro;30;7;23;23.3
15/09/2026;Ceviche;30;7;23;23.3
15/09/2026;Coxinha;30;10;20;33.3
15/09/2026;Croissant;30;9;21;30.0
15/09/2026;Enroladinho de presunto e queijo;30;8;22;26.7
15/09/2026;Espetinho de carne;30;15;15;50.0
15/09/2026;Frango assado;30;12;18;40.0
15/09/2026;Frango temperado;30;14;16;46.7
15/09/2026;Hambúrguer artesanal;30;10;20;33.3
15/09/2026;Kafta;30;10;20;33.3
15/09/2026;Lasanha;30;12;18;40.0
15/09/2026;Linguiça artesanal;30;13;17;43.3
15/09/2026;Macarrão à bolonhesa;30;14;16;46.7
15/09/2026;Maki;30;6;24;20.0
15/09/2026;Marmita de arroz e feijão;30;20;10;66.7
15/09/2026;Pudim;30;11;19;36.7
15/09/2026;Purê de batata;30;18;12;60.0
15/09/2026;Pão de queijo;30;10;20;33.3
15/09/2026;Pão francês;30;9;21;30.0
15/09/2026;Sashimi;30;9;21;30.0
15/09/2026;Sushi;30;5;25;16.7
15/09/2026;Temaki;30;9;21;30.0
15/09/2026;Torta de limão;30;6;24;20.0
16/09/2026;Beijinho;30;5;25;16.7
16/09/2026;Bolo de chocolate;30;9;21;30.0
16/09/2026;Brigadeiro;30;9;21;30.0
16/09/2026;Ceviche;30;5;25;16.7
16/09/2026;Coxinha;30;12;18;40.0
16/09/2026;Croissant;30;10;20;33.3
16/09/2026;Enroladinho de presunto e queijo;30;7;23;23.3
16/09/2026;Espetinho de carne;30;16;14;53.3
16/09/2026;Frango assado;30;5;25;16.7
16/09/2026;Frango temperado;30;11;19;36.7
16/09/2026;Hambúrguer artesanal;30;17;13;56.7
16/09/2026;Kafta;30;14;16;46.7
16/09/2026;Lasanha;30;20;10;66.7
16/09/2026;Linguiça artesanal;30;11;19;36.7
16/09/2026;Macarrão à bolonhesa;30;12;18;40.0
16/09/2026;Maki;30;9;21;30.0
16/09/2026;Marmita de arroz e feijão;30;12;18;40.0
16/09/2026;Pudim;30;10;20;33.3
16/09/2026;Purê de batata;30;17;13;56.7
16/09/2026;Pão de queijo;30;10;20;33.3
16/09/2026;Pão francês;30;14;16;46.7
16/09/2026;Sashimi;30;8;22;26.7
16/09/2026;Sushi;30;4;26;13.3
16/09/2026;Temaki;30;5;25;16.7
16/09/2026;Torta de limão;30;4;26;13.3
17/09/2026;Beijinho;30;2;28;6.7
17/09/2026;Bolo de chocolate;30;4;26;13.3
17/09/2026;Brigadeiro;30;7;23;23.3
17/09/2026;Ceviche;30;3;27;10.0
17/09/2026;Coxinha;30;2;28;6.7
17/09/2026;Croissant;30;8;22;26.7
17/09/2026;Enroladinho de presunto e queijo;30;6;24;20.0
17/09/2026;Espetinho de carne;30;12;18;40.0
17/09/2026;Frango assado;30;6;24;20.0
17/09/2026;Frango temperado;30;6;24;20.0
17/09/2026;Hambúrguer artesanal;30;6;24;20.0
17/09/2026;Kafta;30;11;19;36.7
17/09/2026;Lasanha;30;8;22;26.7
17/09/2026;Linguiça artesanal;30;9;21;30.0
17/09/2026;Macarrão à bolonhesa;30;16;14;53.3
17/09/2026;Maki;30;5;25;16.7
17/09/2026;Marmita de arroz e feijão;30;10;20;33.3
17/09/2026;Pudim;30;5;25;16.7
17/09/2026;Purê de batata;30;6;24;20.0
17/09/2026;Pão de queijo;30;6;24;20.0
17/09/2026;Pão francês;30;3;27;10.0
17/09/2026;Sashimi;30;5;25;16.7
17/09/2026;Sushi;30;4;26;13.3
17/09/2026;Temaki;30;2;28;6.7
17/09/2026;Torta de limão;30;7;23;23.3
18/09/2026;Beijinho;30;3;27;10.0
18/09/2026;Bolo de chocolate;30;4;26;13.3
18/09/2026;Brigadeiro;30;5;25;16.7
18/09/2026;Ceviche;30;4;26;13.3
18/09/2026;Coxinha;30;10;20;33.3
18/09/2026;Croissant;30;4;26;13.3
18/09/2026;Enroladinho de presunto e queijo;30;10;20;33.3
18/09/2026;Espetinho de carne;30;10;20;33.3
18/09/2026;Frango assado;30;11;19;36.7
18/09/2026;Frango temperado;30;10;20;33.3
18/09/2026;Hambúrguer artesanal;30;11;19;36.7
18/09/2026;Kafta;30;14;16;46.7
18/09/2026;Lasanha;30;13;17;43.3
18/09/2026;Linguiça artesanal;30;10;20;33.3
18/09/2026;Macarrão à bolonhesa;30;8;22;26.7
18/09/2026;Maki;30;7;23;23.3
18/09/2026;Marmita de arroz e feijão;30;9;21;30.0
18/09/2026;Pudim;30;6;24;20.0
18/09/2026;Purê de batata;30;10;20;33.3
18/09/2026;Pão de queijo;30;5;25;16.7
18/09/2026;Pão francês;30;13;17;43.3
18/09/2026;Sashimi;30;5;25;16.7
18/09/2026;Sushi;30;9;21;30.0
18/09/2026;Temaki;30;5;25;16.7
18/09/2026;Torta de limão;30;6;24;20.0
19/09/2026;Beijinho;30;7;23;23.3
19/09/2026;Bolo de chocolate;30;6;24;20.0
19/09/2026;Brigadeiro;30;7;23;23.3
19/09/2026;Ceviche;30;2;28;6.7
19/09/2026;Coxinha;30;9;21;30.0
19/09/2026;Croissant;30;10;20;33.3
19/09/2026;Enroladinho de presunto e queijo;30;4;26;13.3
19/09/2026;Espetinho de carne;30;22;8;73.3
19/09/2026;Frango assado;30;9;21;30.0
19/09/2026;Frango temperado;30;16;14;53.3
19/09/2026;Hambúrguer artesanal;30;13;17;43.3
19/09/2026;Kafta;30;11;19;36.7
19/09/2026;Lasanha;30;7;23;23.3
19/09/2026;Linguiça artesanal;30;16;14;53.3
19/09/2026;Macarrão à bolonhesa;30;17;13;56.7
19/09/2026;Maki;30;7;23;23.3
19/09/2026;Marmita de arroz e feijão;30;12;18;40.0
19/09/2026;Pudim;30;6;24;20.0
19/09/2026;Purê de batata;30;17;13;56.7
19/09/2026;Pão de queijo;30;8;22;26.7
19/09/2026;Pão francês;30;10;20;33.3
19/09/2026;Sashimi;30;4;26;13.3
19/09/2026;Sushi;30;5;25;16.7
19/09/2026;Temaki;30;8;22;26.7
19/09/2026;Torta de limão;30;4;26;13.3
20/09/2026;Beijinho;30;9;21;30.0
20/09/2026;Bolo de chocolate;30;13;17;43.3
20/09/2026;Brigadeiro;30;12;18;40.0
20/09/2026;Ceviche;30;16;14;53.3
20/09/2026;Coxinha;30;18;12;60.0
20/09/2026;Croissant;30;14;16;46.7
20/09/2026;Enroladinho de presunto e queijo;30;18;12;60.0
20/09/2026;Espetinho de carne;30;23;7;76.7
20/09/2026;Frango assado;30;20;10;66.7
20/09/2026;Frango temperado;30;21;9;70.0
20/09/2026;Hambúrguer artesanal;30;22;8;73.3
20/09/2026;Kafta;30;24;6;80.0
20/09/2026;Lasanha;30;19;11;63.3
20/09/2026;Linguiça artesanal;30;18;12;60.0
20/09/2026;Macarrão à bolonhesa;30;23;7;76.7
20/09/2026;Maki;30;11;19;36.7
20/09/2026;Marmita de arroz e feijão;30;25;5;83.3
20/09/2026;Pudim;30;11;19;36.7
20/09/2026;Purê de batata;30;20;10;66.7
20/09/2026;Pão de queijo;30;19;11;63.3
20/09/2026;Pão francês;30;17;13;56.7
20/09/2026;Sashimi;30;9;21;30.0
20/09/2026;Sushi;30;11;19;36.7
20/09/2026;Temaki;30;13;17;43.3
20/09/2026;Torta de limão;30;8;22;26.7
21/09/2026;Beijinho;30;11;19;36.7
21/09/2026;Bolo de chocolate;30;6;24;20.0
21/09/2026;Brigadeiro;30;13;17;43.3
21/09/2026;Ceviche;30;5;25;16.7
21/09/2026;Coxinha;30;12;18;40.0
21/09/2026;Croissant;30;6;24;20.0
21/09/2026;Enroladinho de presunto e queijo;30;17;13;56.7
21/09/2026;Espetinho de carne;30;12;18;40.0
21/09/2026;Frango assado;30;18;12;60.0
21/09/2026;Frango temperado;30;17;13;56.7
21/09/2026;Hambúrguer artesanal;30;15;15;50.0
21/09/2026;Kafta;30;16;14;53.3
21/09/2026;Lasanha;30;23;7;76.7
21/09/2026;Linguiça artesanal;30;20;10;66.7
21/09/2026;Macarrão à bolonhesa;30;18;12;60.0
21/09/2026;Maki;30;7;23;23.3
21/09/2026;Marmita de arroz e feijão;30;19;11;63.3
21/09/2026;Pudim;30;8;22;26.7
21/09/2026;Purê de batata;30;14;16;46.7
21/09/2026;Pão de queijo;30;15;15;50.0
21/09/2026;Pão francês;30;17;13;56.7
21/09/2026;Sashimi;30;8;22;26.7
21/09/2026;Sushi;30;12;18;40.0
21/09/2026;Temaki;30;7;23;23.3
21/09/2026;Torta de limão;30;9;21;30.0
22/09/2026;Beijinho;30;6;24;20.0
22/09/2026;Bolo de chocolate;30;9;21;30.0
22/09/2026;Brigadeiro;30;13;17;43.3
22/09/2026;Ceviche;30;12;18;40.0
22/09/2026;Coxinha;30;14;16;46.7
22/09/2026;Croissant;30;13;17;43.3
22/09/2026;Enroladinho de presunto e queijo;30;12;18;40.0
22/09/2026;Espetinho de carne;30;21;9;70.0
22/09/2026;Frango assado;30;17;13;56.7
22/09/2026;Frango temperado;30;19;11;63.3
22/09/2026;Hambúrguer artesanal;30;20;10;66.7
22/09/2026;Kafta;30;18;12;60.0
22/09/2026;Lasanha;30;19;11;63.3
22/09/2026;Linguiça artesanal;30;20;10;66.7
22/09/2026;Macarrão à bolonhesa;30;13;17;43.3
22/09/2026;Maki;30;9;21;30.0
22/09/2026;Marmita de arroz e feijão;30;17;13;56.7
22/09/2026;Pudim;30;11;19;36.7
22/09/2026;Purê de batata;30;18;12;60.0
22/09/2026;Pão de queijo;30;15;15;50.0
22/09/2026;Pão francês;30;12;18;40.0
22/09/2026;Sashimi;30;3;27;10.0
22/09/2026;Sushi;30;9;21;30.0
22/09/2026;Temaki;30;8;22;26.7
22/09/2026;Torta de limão;30;7;23;23.3
23/09/2026;Beijinho;30;6;24;20.0
23/09/2026;Bolo de chocolate;30;8;22;26.7
23/09/2026;Brigadeiro;30;4;26;13.3
23/09/2026;Ceviche;30;10;20;33.3
23/09/2026;Coxinha;30;7;23;23.3
23/09/2026;Croissant;30;15;15;50.0
23/09/2026;Enroladinho de presunto e queijo;30;10;20;33.3
23/09/2026;Espetinho de carne;30;19;11;63.3
23/09/2026;Frango assado;30;15;15;50.0
23/09/2026;Frango temperado;30;19;11;63.3
23/09/2026;Hambúrguer artesanal;30;18;12;60.0
23/09/2026;Kafta;30;15;15;50.0
23/09/2026;Lasanha;30;15;15;50.0
23/09/2026;Linguiça artesanal;30;16;14;53.3
23/09/2026;Macarrão à bolonhesa;30;13;17;43.3
