Data;Produto;Descarte
07/09/2026;Hambúrguer artesanal;22
07/09/2026;Kafta;19
07/09/2026;Lasanha;19
07/09/2026;Linguiça artesanal;19
07/09/2026;Macarrão à bolonhesa;20
07/09/2026;Maki;3
07/09/2026;Marmita de arroz e feijão;23
07/09/2026;Pudim;5
07/09/2026;Purê de batata;18
07/09/2026;Pão de queijo;9
07/09/2026;Pão francês;19
07/09/2026;Sashimi;14
07/09/2026;Sushi;8
07/09/2026;Temaki;5
07/09/2026;Torta de limão;6
08/09/2026;Beijinho;8
08/09/2026;Bolo de chocolate;13
08/09/2026;Brigadeiro;16
08/09/2026;Ceviche;15
08/09/2026;Coxinha;19
08/09/2026;Croissant;16
08/09/2026;Enroladinho de presunto e queijo;13
08/09/2026;Espetinho de carne;23
08/09/2026;Frango assado;20
08/09/2026;Frango temperado;19
08/09/2026;Hambúrguer artesanal;23
08/09/2026;Kafta;22
08/09/2026;Lasanha;24
08/09/2026;Linguiça artesanal;18
08/09/2026;Macarrão à bolonhesa;18
08/09/2026;Maki;10
08/09/2026;Marmita de arroz e feijão;22
08/09/2026;Pudim;12
08/09/2026;Purê de batata;24
08/09/2026;Pão de queijo;19
08/09/2026;Pão francês;22
08/09/2026;Sashimi;9
08/09/2026;Sushi;14
08/09/2026;Temaki;14
08/09/2026;Torta de limão;11
09/09/2026;Beijinho;7
09/09/2026;Bolo de chocolate;11
09/09/2026;Brigadeiro;7
09/09/2026;Ceviche;11
09/09/2026;Coxinha;22
09/09/2026;Croissant;10
09/09/2026;Enroladinho de presunto e queijo;15
09/09/2026;Espetinho de carne;21
09/09/2026;Frango assado;23
09/09/2026;Frango temperado;25
09/09/2026;Hambúrguer artesanal;17
09/09/2026;Kafta;24
09/09/2026;Lasanha;20
09/09/2026;Linguiça artesanal;22
09/09/2026;Macarrão à bolonhesa;21
09/09/2026;Maki;12
09/09/2026;Marmita de arroz e feijão;20
09/09/2026;Pudim;14
09/09/2026;Purê de batata;19
09/09/2026;Pão de queijo;13
09/09/2026;Pão francês;11
09/09/2026;Sashimi;17
09/09/2026;Sushi;14
09/09/2026;Temaki;12
09/09/2026;Torta de limão;13
10/09/2026;Beijinho;17
10/09/2026;Bolo de chocolate;14
10/09/2026;Brigadeiro;8
10/09/2026;Ceviche;11
10/09/2026;Coxinha;19
10/09/2026;Croissant;21
10/09/2026;Enroladinho de presunto e queijo;21
10/09/2026;Espetinho de carne;24
10/09/2026;Frango assado;17
10/09/2026;Frango temperado;24
10/09/2026;Hambúrguer artesanal;17
10/09/2026;Kafta;25
10/09/2026;Lasanha;24
10/09/2026;Linguiça artesanal;21
10/09/2026;Macarrão à bolonhesa;22
10/09/2026;Maki;10
10/09/2026;Marmita de arroz e feijão;16
10/09/2026;Pudim;3
10/09/2026;Purê de batata;20
10/09/2026;Pão de queijo;18
10/09/2026;Pão francês;21
10/09/2026;Sashimi;14
10/09/2026;Sushi;4
10/09/2026;Temaki;14
10/09/2026;Torta de limão;7
11/09/2026;Beijinho;9
11/09/2026;Bolo de chocolate;11
11/09/2026;Brigadeiro;16
11/09/2026;Ceviche;16
11/09/2026;Coxinha;12
11/09/2026;Croissant;17
11/09/2026;Enroladinho de presunto e queijo;8
11/09/2026;Espetinho de carne;16
11/09/2026;Frango assado;13
11/09/2026;Frango temperado;18
11/09/2026;Hambúrguer artesanal;13
11/09/2026;Kafta;17
11/09/2026;Lasanha;14
11/09/2026;Linguiça artesanal;11
11/09/2026;Macarrão à bolonhesa;14
11/09/2026;Maki;13
11/09/2026;Marmita de arroz e feijão;16
11/09/2026;Pudim;12
11/09/2026;Purê de batata;12
11/09/2026;Pão de queijo;8
11/09/2026;Pão francês;17
11/09/2026;Sashimi;17
11/09/2026;Sushi;8
11/09/2026;Temaki;16
11/09/2026;Torta de limão;13
12/09/2026;Beijinho;15
12/09/2026;Bolo de chocolate;12
12/09/2026;Brigadeiro;15
12/09/2026;Ceviche;16
12/09/2026;Coxinha;21
12/09/2026;Croissant;15
12/09/2026;Enroladinho de presunto e queijo;13
12/09/2026;Espetinho de carne;24
12/09/2026;Frango assado;23
12/09/2026;Frango temperado;21
12/09/2026;Hambúrguer artesanal;18
12/09/2026;Kafta;22
12/09/2026;Lasanha;21
12/09/2026;Linguiça artesanal;17
12/09/2026;Macarrão à bolonhesa;23
12/09/2026;Maki;11
12/09/2026;Marmita de arroz e feijão;20
12/09/2026;Pudim;7
12/09/2026;Purê de batata;26
12/09/2026;Pão de queijo;6
12/09/2026;Pão francês;15
12/09/2026;Sashimi;12
12/09/2026;Sushi;15
12/09/2026;Temaki;11
12/09/2026;Torta de limão;11
13/09/2026;Beijinho;6
13/09/2026;Bolo de chocolate;15
13/09/2026;Brigadeiro;8
13/09/2026;Ceviche;19
13/09/2026;Coxinha;14
13/09/2026;Croissant;12
13/09/2026;Enroladinho de presunto e queijo;17
13/09/2026;Espetinho de carne;23
13/09/2026;Frango assado;22
13/09/2026;Frango temperado;20
13/09/2026;Hambúrguer artesanal;22
13/09/2026;Kafta;22
13/09/2026;Lasanha;22
13/09/2026;Linguiça artesanal;18
13/09/2026;Macarrão à bolonhesa;23
13/09/2026;Maki;6
13/09/2026;Marmita de arroz e feijão;27
13/09/2026;Pudim;16
13/09/2026;Purê de batata;18
13/09/2026;Pão de queijo;16
13/09/2026;Pão francês;16
13/09/2026;Sashimi;16
13/09/2026;Sushi;8
13/09/2026;Temaki;9
13/09/2026;Torta de limão;20
14/09/2026;Beijinho;21
14/09/2026;Bolo de chocolate;26
14/09/2026;Brigadeiro;22
14/09/2026;Ceviche;19
14/09/2026;Coxinha;18
14/09/2026;Croissant;21
14/09/2026;Enroladinho de presunto e queijo;20
14/09/2026;Espetinho de carne;20
14/09/2026;Frango assado;21
14/09/2026;Frango temperado;22
14/09/2026;Hambúrguer artesanal;16
14/09/2026;Kafta;24
14/09/2026;Lasanha;17
14/09/2026;Linguiça artesanal;16
14/09/2026;Macarrão à bolonhesa;20
14/09/2026;Maki;23
14/09/2026;Marmita de arroz e feijão;17
14/09/2026;Pudim;22
14/09/2026;Purê de batata;21
14/09/2026;Pão de queijo;16
14/09/2026;Pão francês;20
14/09/2026;Sashimi;20
14/09/2026;Sushi;18
14/09/2026;Temaki;19
14/09/2026;Torta de limão;20
15/09/2026;Beijinho;16
15/09/2026;Bolo de chocolate;23
15/09/2026;Brigadeiro;20
15/09/2026;Ceviche;19
15/09/2026;Coxinha;17
15/09/2026;Croissant;23
15/09/2026;Enroladinho de presunto e queijo;20
15/09/2026;Espetinho de carne;24
15/09/2026;Frango assado;24
15/09/2026;Frango temperado;22
15/09/2026;Hambúrguer artesanal;13
15/09/2026;Kafta;18
15/09/2026;Lasanha;25
15/09/2026;Linguiça artesanal;21
15/09/2026;Macarrão à bolonhesa;17
15/09/2026;Maki;14
15/09/2026;Marmita de arroz e feijão;19
15/09/2026;Pudim;20
15/09/2026;Purê de batata;21
15/09/2026;Pão de queijo;19
15/09/2026;Pão francês;17
15/09/2026;Sashimi;21
15/09/2026;Sushi;17
15/09/2026;Temaki;21
15/09/2026;Torta de limão;26
16/09/2026;Beijinho;23
16/09/2026;Bolo de chocolate;27
16/09/2026;Brigadeiro;22
16/09/2026;Ceviche;20
16/09/2026;Coxinha;19
16/09/2026;Croissant;20
16/09/2026;Enroladinho de presunto e queijo;25
16/09/2026;Espetinho de carne;21
16/09/2026;Frango assado;15
16/09/2026;Frango temperado;16
16/09/2026;Hambúrguer artesanal;17
16/09/2026;Kafta;13
16/09/2026;Lasanha;14
16/09/2026;Linguiça artesanal;14
16/09/2026;Macarrão à bolonhesa;18
16/09/2026;Maki;19
16/09/2026;Marmita de arroz e feijão;17
16/09/2026;Pudim;22
16/09/2026;Purê de batata;13
16/09/2026;Pão de queijo;20
16/09/2026;Pão francês;27
16/09/2026;Sashimi;26
16/09/2026;Sushi;24
16/09/2026;Temaki;22
16/09/2026;Torta de limão;23
17/09/2026;Beijinho;26
17/09/2026;Bolo de chocolate;27
17/09/2026;Brigadeiro;24
17/09/2026;Ceviche;27
17/09/2026;Coxinha;24
17/09/2026;Croissant;25
17/09/2026;Enroladinho de presunto e queijo;23
17/09/2026;Espetinho de carne;18
17/09/2026;Frango assado;22
17/09/2026;Frango temperado;22
17/09/2026;Hambúrguer artesanal;14
17/09/2026;Kafta;15
17/09/2026;Lasanha;21
17/09/2026;Linguiça artesanal;23
17/09/2026;Macarrão à bolonhesa;23
17/09/2026;Maki;28
17/09/2026;Marmita de arroz e feijão;25
17/09/2026;Pudim;25
17/09/2026;Purê de batata;22
17/09/2026;Pão de queijo;21
17/09/2026;Pão francês;25
17/09/2026;Sashimi;25
17/09/2026;Sushi;25
17/09/2026;Temaki;25
17/09/2026;Torta de limão;24
18/09/2026;Beijinho;24
18/09/2026;Bolo de chocolate;22
18/09/2026;Brigadeiro;29
18/09/2026;Ceviche;23
18/09/2026;Coxinha;21
18/09/2026;Croissant;20
18/09/2026;Enroladinho de presunto e queijo;23
18/09/2026;Espetinho de carne;14
18/09/2026;Frango assado;20
18/09/2026;Frango temperado;19
18/09/2026;Hambúrguer artesanal;22
18/09/2026;Kafta;20
18/09/2026;Lasanha;19
18/09/2026;Linguiça artesanal;17
18/09/2026;Macarrão à bolonhesa;16
18/09/2026;Maki;24
18/09/2026;Marmita de arroz e feijão;15
18/09/2026;Pudim;29
18/09/2026;Purê de batata;18
18/09/2026;Pão de queijo;20
18/09/2026;Pão francês;24
18/09/2026;Sashimi;27
18/09/2026;Sushi;22
18/09/2026;Temaki;24
18/09/2026;Torta de limão;26
19/09/2026;Beijinho;27
19/09/2026;Bolo de chocolate;23
19/09/2026;Brigadeiro;25
19/09/2026;Ceviche;20
19/09/2026;Coxinha;23
19/09/2026;Croissant;22
19/09/2026;Enroladinho de presunto e queijo;24
19/09/2026;Espetinho de carne;17
19/09/2026;Frango assado;23
19/09/2026;Frango temperado;15
19/09/2026;Hambúrguer artesanal;13
19/09/2026;Kafta;13
19/09/2026;Lasanha;15
19/09/2026;Linguiça artesanal;21
19/09/2026;Macarrão à bolonhesa;18
19/09/2026;Maki;24
19/09/2026;Marmita de arroz e feijão;19
19/09/2026;Pudim;23
19/09/2026;Purê de batata;18
19/09/2026;Pão de queijo;25
19/09/2026;Pão francês;21
19/09/2026;Sashimi;26
19/09/2026;Sushi;23
19/09/2026;Temaki;21
19/09/2026;Torta de limão;24
20/09/2026;Beijinho;14
20/09/2026;Bolo de chocolate;18
20/09/2026;Brigadeiro;18
20/09/2026;Ceviche;14
20/09/2026;Coxinha;17
20/09/2026;Croissant;15
20/09/2026;Enroladinho de presunto e queijo;14
20/09/2026;Espetinho de carne;9
20/09/2026;Frango assado;12
20/09/2026;Frango temperado;12
20/09/2026;Hambúrguer artesanal;12
20/09/2026;Kafta;9
20/09/2026;Lasanha;3
20/09/2026;Linguiça artesanal;9
20/09/2026;Macarrão à bolonhesa;5
20/09/2026;Maki;20
20/09/2026;Marmita de arroz e feijão;2
20/09/2026;Pudim;17
20/09/2026;Purê de batata;14
20/09/2026;Pão de queijo;14
20/09/2026;Pão francês;10
20/09/2026;Sashimi;17
20/09/2026;Sushi;23
20/09/2026;Temaki;18
20/09/2026;Torta de limão;16
21/09/2026;Beijinho;21
21/09/2026;Bolo de chocolate;26
21/09/2026;Brigadeiro;21
21/09/2026;Ceviche;22
21/09/2026;Coxinha;11
21/09/2026;Croissant;20
21/09/2026;Enroladinho de presunto e queijo;17
21/09/2026;Espetinho de carne;15
21/09/2026;Frango assado;7
21/09/2026;Frango temperado;11
21/09/2026;Hambúrguer artesanal;16
21/09/2026;Kafta;9
21/09/2026;Lasanha;10
21/09/2026;Linguiça artesanal;11
21/09/2026;Macarrão à bolonhesa;14
21/09/2026;Maki;22
21/09/2026;Marmita de arroz e feijão;11
21/09/2026;Pudim;21
21/09/2026;Purê de batata;13
21/09/2026;Pão de queijo;17
21/09/2026;Pão francês;18
21/09/2026;Sashimi;22
21/09/2026;Sushi;21
21/09/2026;Temaki;21
21/09/2026;Torta de limão;22
22/09/2026;Beijinho;18
22/09/2026;Bolo de chocolate;25
22/09/2026;Brigadeiro;20
22/09/2026;Ceviche;21
22/09/2026;Coxinha;14
22/09/2026;Croissant;15
22/09/2026;Enroladinho de presunto e queijo;17
22/09/2026;Espetinho de carne;9
22/09/2026;Frango assado;15
22/09/2026;Frango temperado;16
22/09/2026;Hambúrguer artesanal;8
22/09/2026;Kafta;10
22/09/2026;Lasanha;16
22/09/2026;Linguiça artesanal;9
22/09/2026;Macarrão à bolonhesa;14
22/09/2026;Maki;18
22/09/2026;Marmita de arroz e feijão;19
22/09/2026;Pudim;22
22/09/2026;Purê de batata;15
22/09/2026;Pão de queijo;16
22/09/2026;Pão francês;15
22/09/2026;Sashimi;24
22/09/2026;Sushi;20
22/09/2026;Temaki;19
22/09/2026;Torta de limão;19
23/09/2026;Beijinho;24
23/09/2026;Bolo de chocolate;24
23/09/2026;Brigadeiro;22
23/09/2026;Ceviche;21
23/09/2026;Coxinha;17
23/09/2026;Croissant;17
23/09/2026;Enroladinho de presunto e queijo;14
23/09/2026;Espetinho de carne;14
23/09/2026;Frango assado;12
23/09/2026;Frango temperado;17
23/09/2026;Hambúrguer artesanal;10
23/09/2026;Kafta;11
23/09/2026;Lasanha;14
23/09/2026;Linguiça artesanal;10
23/09/2026;Macarrão à bolonhesa;10
23/09/2026;Maki;19
23/09/2026;Marmita de arroz e feijão;15
23/09/2026;Pudim;20
23/09/2026;Purê de batata;11
23/09/2026;Pão de queijo;23
23/09/2026;Pão francês;24
23/09/2026;Sashimi;18
23/09/2026;Sushi;21
23/09/2026;Temaki;21
23/09/2026;Torta de limão;18
24/09/2026;Beijinho;21
24/09/2026;Bolo de chocolate;20
24/09/2026;Brigadeiro;22
24/09/2026;Ceviche;25
24/09/2026;Coxinha;16
24/09/2026;Croissant;13
24/09/2026;Enroladinho de presunto e queijo;11
24/09/2026;Espetinho de carne;7
24/09/2026;Frango assado;13
24/09/2026;Frango temperado;12
24/09/2026;Hambúrguer artesanal;13
24/09/2026;Kafta;13
24/09/2026;Lasanha;13
24/09/2026;Linguiça artesanal;13
24/09/2026;Macarrão à bolonhesa;12
24/09/2026;Maki;23
24/09/2026;Marmita de arroz e feijão;15
24/09/2026;Pudim;23
24/09/2026;Purê de batata;13
24/09/2026;Pão de queijo;19
24/09/2026;Pão francês;19
24/09/2026;Sashimi;19
24/09/2026;Sushi;26
24/09/2026;Temaki;26
24/09/2026;Torta de limão;25
25/09/2026;Beijinho;20
25/09/2026;Bolo de chocolate;23
25/09/2026;Brigadeiro;21
25/09/2026;Ceviche;21
25/09/2026;Coxinha;17
25/09/2026;Croissant;21
25/09/2026;Enroladinho de presunto e queijo;11
25/09/2026;Espetinho de carne;12
25/09/2026;Frango assado;15
25/09/2026;Frango temperado;9
25/09/2026;Hambúrguer artesanal;12
25/09/2026;Kafta;14
25/09/2026;Lasanha;17
25/09/2026;Linguiça artesanal;15
25/09/2026;Macarrão à bolonhesa;13
25/09/2026;Maki;18
25/09/2026;Marmita de arroz e feijão;15
25/09/2026;Pudim;19
25/09/2026;Purê de batata;17
25/09/2026;Pão de queijo;18
25/09/2026;Pão francês;18
25/09/2026;Sashimi;16
25/09/2026;Sushi;27
25/09/2026;Temaki;21
25/09/2026;Torta de limão;27
26/09/2026;Beijinho;26
26/09/2026;Bolo de chocolate;16
26/09/2026;Brigadeiro;19
26/09/2026;Ceviche;19
26/09/2026;Coxinha;16
26/09/2026;Croissant;18
26/09/2026;Enroladinho de presunto e queijo;15
26/09/2026;Espetinho de carne;15
26/09/2026;Frango assado;13
26/09/2026;Frango temperado;13
26/09/2026;Hambúrguer artesanal;10
26/09/2026;Kafta;10
26/09/2026;Lasanha;15
26/09/2026;Linguiça artesanal;10
26/09/2026;Macarrão à bolonhesa;17
26/09/2026;Maki;19
26/09/2026;Marmita de arroz e feijão;12
26/09/2026;Pudim;21
26/09/2026;Purê de batata;14
26/09/2026;Pão de queijo;14
26/09/2026;Pão francês;14
26/09/2026;Sashimi;21
26/09/2026;Sushi;17
26/09/2026;Temaki;19
26/09/2026;Torta de limão;23
27/09/2026;Beijinho;25
27/09/2026;Bolo de chocolate;24
27/09/2026;Brigadeiro;21
27/09/2026;Ceviche;18
27/09/2026;Coxinha;14
27/09/2026;Croissant;16
27/09/2026;Enroladinho de presunto e queijo;12
27/09/2026;Espetinho de carne;8
27/09/2026;Frango assado;19
27/09/2026;Frango temperado;16
27/09/2026;Hambúrguer artesanal;9
27/09/2026;Kafta;5
27/09/2026;Lasanha;13
27/09/2026;Linguiça artesanal;14
27/09/2026;Macarrão à bolonhesa;12
27/09/2026;Maki;14
27/09/2026;Marmita de arroz e feijão;12
27/09/2026;Pudim;20
27/09/2026;Purê de batata;19
27/09/2026;Pão de queijo;20
27/09/2026;Pão francês;18
27/09/2026;Sashimi;18
27/09/2026;Sushi;22
27/09/2026;Temaki;24
27/09/2026;Torta de limão;25
28/09/2026;Beijinho;25
28/09/2026;Bolo de chocolate;22
28/09/2026;Brigadeiro;22
28/09/2026;Ceviche;25
28/09/2026;Coxinha;22
28/09/2026;Croissant;22
28/09/2026;Enroladinho de presunto e queijo;21
28/09/2026;Espetinho de carne;17
28/09/2026;Frango assado;20
28/09/2026;Frango temperado;14
28/09/2026;Hambúrguer artesanal;10
28/09/2026;Kafta;13
28/09/2026;Lasanha;18
28/09/2026;Linguiça artesanal;12
28/09/2026;Macarrão à bolonhesa;17
28/09/2026;Maki;22
28/09/2026;Marmita de arroz e feijão;11
28/09/2026;Pudim;23
28/09/2026;Purê de batata;18
28/09/2026;Pão de queijo;20
28/09/2026;Pão francês;20
28/09/2026;Sashimi;22
28/09/2026;Sushi;23
28/09/2026;Temaki;23
28/09/2026;Torta de limão;21
29/09/2026;Beijinho;25
29/09/2026;Bolo de chocolate;17
29/09/2026;Brigadeiro;29
29/09/2026;Ceviche;25
29/09/2026;Coxinha;16
29/09/2026;Croissant;23
29/09/2026;Enroladinho de presunto e queijo;22
29/09/2026;Espetinho de carne;13
29/09/2026;Frango assado;19
29/09/2026;Frango temperado;14
29/09/2026;Hambúrguer artesanal;12
29/09/2026;Kafta;20
29/09/2026;Lasanha;20
29/09/2026;Linguiça artesanal;21
29/09/2026;Macarrão à bolonhesa;15
29/09/2026;Maki;23
29/09/2026;Marmita de arroz e feijão;25
29/09/2026;Pudim;27
29/09/2026;Purê de batata;17
29/09/2026;Pão de queijo;20
29/09/2026;Pão francês;20
29/09/2026;Sashimi;22
29/09/2026;Sushi;24
29/09/2026;Temaki;26
29/09/2026;Torta de limão;23
30/09/2026;Beijinho;22
30/09/2026;Bolo de chocolate;22
30/09/2026;Brigadeiro;25
30/09/2026;Ceviche;24
30/09/2026;Coxinha;21
30/09/2026;Croissant;16
30/09/2026;Enroladinho de presunto e queijo;22
30/09/2026;Espetinho de carne;17
30/09/2026;Frango assado;20
30/09/2026;Frango temperado;13
30/09/2026;Hambúrguer artesanal;10
30/09/2026;Kafta;20
30/09/2026;Lasanha;19
30/09/2026;Linguiça artesanal;14
30/09/2026;Macarrão à bolonhesa;13
30/09/2026;Maki;26
30/09/2026;Marmita de arroz e feijão;15
30/09/2026;Pudim;22
30/09/2026;Purê de batata;20
30/09/2026;Pão de queijo;17
30/09/2026;Pão francês;19
30/09/2026;Sashimi;25
30/09/2026;Sushi;23
30/09/2026;Temaki;22
30/09/2026;Torta de limão;19
